seed,model,margin,epoch,train_loss,val_loss,val_default_acc,val_best_acc,val_best_threshold,test_acc_at_val_threshold,used_batches,skipped_batches,val_loss_used_batches,val_loss_skipped_batches,wall_time_sec
999,Triplet_semihard,0.1,1,0.04902174818114592,0.04982516809832305,0.4954545454545455,0.7454545497894287,0.7650638818740845,0.734,104,0,32,0,39.807273626327515
999,Triplet_semihard,0.1,2,0.04738136255540527,0.04677988379262388,0.4954545454545455,0.800000011920929,0.8262248039245605,0.738,104,0,32,0,78.77541017532349
999,Triplet_semihard,0.1,3,0.04710510951610139,0.04629799956455827,0.4954545454545455,0.7909091114997864,0.8769592046737671,0.734,104,0,32,0,117.08850240707397
999,Triplet_semihard,0.1,4,0.046661484359691925,0.04721053980756551,0.4954545454545455,0.824999988079071,0.9270602464675903,0.745,104,0,32,0,155.2629256248474
999,Triplet_semihard,0.1,5,0.04615066512129628,0.04669241013471037,0.4954545454545455,0.8363636136054993,1.1014353036880493,0.772,104,0,32,0,192.92740416526794
999,Triplet_semihard,0.1,6,0.04640582012227522,0.046787379193119705,0.4954545454545455,0.8500000238418579,0.9598774909973145,0.785,104,0,32,0,230.7099437713623
999,Triplet_semihard,0.1,7,0.0447033269927629,0.04365040553966537,0.4954545454545455,0.8181818127632141,0.7943897843360901,0.749,103,1,32,0,267.86976623535156
999,Triplet_semihard,0.1,8,0.04645899282051967,0.04300066182622686,0.4954545454545455,0.875,0.8446100950241089,0.795,104,0,32,0,304.93075013160706
999,Triplet_semihard,0.1,9,0.04544753249949561,0.045511357486248016,0.4954545454545455,0.8727272748947144,0.8709137439727783,0.786,104,0,32,0,342.59599232673645
999,Triplet_semihard,0.1,10,0.044813715699083594,0.04356944130267948,0.4954545454545455,0.8363636136054993,0.8080425262451172,0.771,103,1,32,0,380.22319984436035
999,Triplet_semihard,0.1,11,0.0468958316605936,0.0459562879987061,0.4954545454545455,0.8863636255264282,1.0107066631317139,0.81,103,1,32,0,417.1758699417114
999,Triplet_semihard,0.1,12,0.04538504999962825,0.04542826593387872,0.4954545454545455,0.9068182110786438,0.9724981784820557,0.812,103,1,32,0,453.9143805503845
999,Triplet_semihard,0.1,13,0.043593751212346904,0.04508461698424071,0.4954545454545455,0.9022727012634277,0.9885751008987427,0.821,103,1,32,0,490.8255341053009
999,Triplet_semihard,0.1,14,0.045224360072786365,0.0442630402976647,0.4954545454545455,0.8999999761581421,0.908618152141571,0.799,103,1,32,0,527.9752700328827
999,Triplet_semihard,0.1,15,0.045135123194149224,0.04630787461064756,0.4954545454545455,0.8909090757369995,0.9550334215164185,0.799,101,3,32,0,564.7344679832458
999,Triplet_semihard,0.1,16,0.04445804905730719,0.043353187618777156,0.4954545454545455,0.8977272510528564,0.8718855977058411,0.803,102,2,32,0,601.2467041015625
999,Triplet_semihard,0.1,17,0.04407011552785452,0.04401612270157784,0.4954545454545455,0.9136363863945007,0.8231780529022217,0.758,104,0,32,0,638.2081072330475
999,Triplet_semihard,0.1,18,0.04369522079538841,0.04273734346497804,0.4954545454545455,0.918181836605072,0.8768942356109619,0.795,104,0,32,0,674.7694509029388
999,Triplet_semihard,0.1,19,0.04285490944642912,0.04166563204489648,0.4954545454545455,0.9159091114997864,0.8932792544364929,0.805,99,5,32,0,710.5490913391113
999,Triplet_semihard,0.1,20,0.04545885839870254,0.04470469558145851,0.4954545454545455,0.9022727012634277,0.8412036895751953,0.793,103,1,32,0,747.077879190445
999,Triplet_semihard,0.1,21,0.042583498347661286,0.04139812773792073,0.4954545454545455,0.918181836605072,0.8292114734649658,0.789,101,3,32,0,783.2672629356384
999,Triplet_semihard,0.1,22,0.044549663071927516,0.04301971762130658,0.4954545454545455,0.9454545378684998,0.9141665697097778,0.796,103,1,30,2,820.6552560329437
999,Triplet_semihard,0.1,23,0.04372169442474842,0.045069442014209926,0.4954545454545455,0.9340909123420715,0.8637034296989441,0.771,100,4,32,0,857.1249463558197
999,Triplet_semihard,0.1,24,0.04283075810410082,0.04505369601150354,0.4954545454545455,0.9477272629737854,0.9336404800415039,0.797,100,4,30,2,893.8065178394318
999,Triplet_semihard,0.1,25,0.04437819519536752,0.04275815945584327,0.4954545454545455,0.9204545617103577,0.8706930875778198,0.78,102,2,32,0,929.97501039505
999,Triplet_semihard,0.1,26,0.042421567789984474,0.04305590264266357,0.4954545454545455,0.9295454621315002,0.961239755153656,0.811,99,5,32,0,965.4198977947235
999,Triplet_semihard,0.1,27,0.04389735260047019,0.044550097081810236,0.4954545454545455,0.9363636374473572,0.8740026950836182,0.777,100,4,32,0,1001.503363609314
999,Triplet_semihard,0.1,28,0.042325805799633846,0.04333056084578857,0.4954545454545455,0.9272727370262146,0.8367375731468201,0.76,102,2,32,0,1037.9984011650085
999,Triplet_semihard,0.1,29,0.042745249365714,0.043189028157822544,0.4954545454545455,0.9363636374473572,0.895661473274231,0.757,94,10,31,1,1073.8024396896362
