seed,backbone,epoch,train_loss,val_loss,val_default_acc,val_best_acc,val_best_threshold,test_acc_at_val_threshold,used_batches,skipped_batches,val_loss_used_batches,val_loss_skipped_batches,wall_time_sec
123,koch,1,0.09203329542651772,0.09079527040012181,0.5,0.7227272987365723,0.968831479549408,0.695,104,0,32,0,153.35202717781067
123,koch,2,0.09126477957201692,0.0943428527098149,0.5,0.7795454263687134,0.85444176197052,0.746,104,0,32,0,247.12222003936768
123,koch,3,0.08931094845040487,0.08818385284394026,0.5136363636363637,0.800000011920929,0.7181221842765808,0.74,104,0,32,0,294.88380002975464
123,koch,4,0.09194206983710711,0.09173776395618916,0.5022727272727273,0.8272727131843567,0.9703442454338074,0.761,104,0,32,0,337.67261815071106
123,koch,5,0.09007879446905392,0.09079775703139603,0.4954545454545455,0.8272727131843567,1.0300195217132568,0.783,104,0,32,0,378.6256492137909
123,koch,6,0.08701631845906377,0.0860116071999073,0.49772727272727274,0.8409090638160706,0.8639708757400513,0.767,104,0,32,0,418.1076753139496
123,koch,7,0.08863865157875878,0.08620386605616659,0.4954545454545455,0.8590909242630005,0.9479845762252808,0.798,104,0,32,0,474.7522463798523
123,koch,8,0.08603549211357649,0.0834992746822536,0.49772727272727274,0.8886363506317139,0.9687089920043945,0.79,104,0,32,0,551.7437560558319
123,koch,9,0.08516889618872439,0.08600276941433549,0.4954545454545455,0.8659090995788574,1.0417804718017578,0.768,103,1,32,0,625.4450705051422
123,koch,10,0.08473772981848854,0.08820221107453108,0.4954545454545455,0.8818181753158569,0.9999793767929077,0.796,104,0,32,0,698.5421667098999
123,koch,11,0.08265643968031956,0.08122159028425813,0.49772727272727274,0.8977272510528564,1.0566041469573975,0.807,104,0,32,0,772.1022531986237
123,koch,12,0.08318293879095179,0.07991918548941612,0.4954545454545455,0.9045454263687134,0.9733183979988098,0.822,104,0,32,0,828.2039268016815
123,koch,13,0.08073605339114483,0.08171331859193742,0.4954545454545455,0.8840909004211426,0.9651362299919128,0.817,104,0,32,0,865.0243308544159
123,koch,14,0.08139675007500116,0.08640824491158128,0.4954545454545455,0.8977272510528564,0.9403070211410522,0.805,103,1,32,0,901.3824183940887
123,koch,15,0.0819849452863519,0.0806912062689662,0.5,0.8999999761581421,0.9642179012298584,0.798,104,0,32,0,937.669591665268
123,koch,16,0.07952321049513168,0.0800031297840178,0.4954545454545455,0.8954545259475708,1.0107903480529785,0.799,103,1,32,0,973.4826016426086
123,koch,17,0.07852352359919872,0.08055868826340884,0.49772727272727274,0.9136363863945007,0.9517261981964111,0.79,103,1,32,0,1009.8799066543579
123,koch,18,0.08071389045674825,0.07659315618295823,0.4954545454545455,0.9159091114997864,0.9468042850494385,0.786,103,1,31,1,1046.3437514305115
123,koch,19,0.07677748427690509,0.07604214176535606,0.4954545454545455,0.9340909123420715,1.013772964477539,0.804,104,0,32,0,1082.5813310146332
123,koch,20,0.0768293169599892,0.0771155223971413,0.4954545454545455,0.9386363625526428,0.933085560798645,0.798,99,5,31,1,1118.4608643054962
123,koch,21,0.07410279046563269,0.07477623716958108,0.4954545454545455,0.925000011920929,0.9215517044067383,0.782,103,1,31,1,1154.640832901001
123,koch,22,0.07394373294550415,0.07382140582194552,0.4954545454545455,0.9431818127632141,0.9323421716690063,0.787,102,2,32,0,1190.3288085460663
123,koch,23,0.07292672870035219,0.07692420238163322,0.4954545454545455,0.9318181872367859,0.9742120504379272,0.798,101,3,32,0,1225.9310910701752
123,koch,24,0.07511739894747733,0.07102511264383793,0.49772727272727274,0.9454545378684998,0.9765762686729431,0.829,100,4,32,0,1261.425152540207
123,koch,25,0.07385439250399084,0.07464562519453466,0.4954545454545455,0.9386363625526428,0.8951464891433716,0.776,102,2,32,0,1297.49867105484
123,koch,26,0.07326814251443006,0.07240576739422977,0.4954545454545455,0.9431818127632141,0.9144807457923889,0.773,97,7,32,0,1333.0289235115051
123,koch,27,0.07024110061595741,0.07065012934617698,0.4954545454545455,0.9522727131843567,0.9219011664390564,0.799,103,1,32,0,1368.9810090065002
123,koch,28,0.07025276351720094,0.06709672276291155,0.4954545454545455,0.9522727131843567,0.9990105032920837,0.799,100,4,31,1,1404.6552760601044
123,koch,29,0.07170770306140184,0.07158084261801935,0.4954545454545455,0.9613636136054993,0.9366239309310913,0.78,100,4,31,1,1440.0293264389038
123,koch,30,0.07418003402726382,0.07089047756744549,0.4954545454545455,0.9522727131843567,0.9395474791526794,0.79,98,6,32,0,1475.413399219513
