fpr,tpr
0.864,0.982
0.864,0.984
0.868,0.984
0.868,0.988
0.888,0.988
0.888,0.99
0.89,0.99
0.89,0.992
0.904,0.992
0.904,0.994
0.912,0.994
0.912,0.996
0.93,0.996
0.93,0.998
0.986,0.998
0.986,1.0
1.0,1.0
