backbone,oneshot_acc_N2,oneshot_acc_N5,oneshot_acc_N20,checkpoint
KochCNN,0.885,0.76,0.515,checkpoints/exp2_best_koch.pt
ResNet18Scratch,0.925,0.675,0.33,checkpoints/exp2_best_resnet18.pt
