seed,backbone,epoch,train_loss,val_loss,val_default_acc,val_best_acc,val_best_threshold,test_acc_at_val_threshold,used_batches,skipped_batches,val_loss_used_batches,val_loss_skipped_batches,wall_time_sec
999,koch,1,0.08989480664380468,0.09213339036796242,0.5022727272727273,0.7363636493682861,0.8967221975326538,0.702,104,0,32,0,36.75427293777466
999,koch,2,0.0933000439992891,0.09337154100649059,0.5,0.7840909361839294,0.8846937417984009,0.731,104,0,32,0,73.83254146575928
999,koch,3,0.090293288230896,0.09011091501452029,0.5045454545454545,0.7863636612892151,1.0354450941085815,0.747,103,1,32,0,110.48255443572998
999,koch,4,0.09187645207230861,0.08930892334319651,0.49772727272727274,0.8136363625526428,0.8897354602813721,0.774,104,0,32,0,147.03363513946533
999,koch,5,0.08894937840075447,0.08814103342592716,0.5,0.8636363744735718,0.9561468958854675,0.797,104,0,32,0,184.22597527503967
999,koch,6,0.08850746028698407,0.08570696925744414,0.5068181818181818,0.8522727489471436,1.000380277633667,0.767,104,0,32,0,220.6199986934662
999,koch,7,0.08525729584462434,0.08827247028239071,0.5,0.875,0.9253290891647339,0.788,103,1,32,0,256.4823293685913
999,koch,8,0.08647921486184575,0.08474329649470747,0.49772727272727274,0.8659090995788574,1.1041698455810547,0.809,104,0,32,0,292.8724534511566
999,koch,9,0.08528686762572481,0.084638707106933,0.5022727272727273,0.8727272748947144,1.0141856670379639,0.806,104,0,32,0,329.10410046577454
999,koch,10,0.08504875441296743,0.08977646462153643,0.4954545454545455,0.8999999761581421,1.059734582901001,0.804,104,0,32,0,365.7934260368347
999,koch,11,0.08576220950971429,0.08723506727255881,0.49772727272727274,0.8818181753158569,0.9639568328857422,0.784,104,0,32,0,402.1566171646118
999,koch,12,0.0846391555319712,0.08202968225363762,0.49772727272727274,0.9090909361839294,0.9845312833786011,0.81,103,1,31,1,438.2358293533325
999,koch,13,0.08201555925636338,0.0813244110904634,0.4954545454545455,0.8863636255264282,0.8846616744995117,0.776,104,0,32,0,474.0779643058777
999,koch,14,0.08575327698032832,0.08566940354648978,0.4954545454545455,0.9022727012634277,1.002319097518921,0.806,103,1,32,0,509.8151912689209
999,koch,15,0.08078692018842468,0.08010484685655683,0.4954545454545455,0.8999999761581421,1.0500892400741577,0.797,104,0,32,0,546.0424616336823
999,koch,16,0.07901129746236481,0.07506110507529229,0.4954545454545455,0.9159091114997864,1.0349669456481934,0.803,104,0,32,0,582.2042818069458
999,koch,17,0.08363479307781045,0.07725885475520045,0.4954545454545455,0.8977272510528564,0.8728742003440857,0.765,104,0,32,0,618.5198755264282
999,koch,18,0.08017855078572093,0.07864981360973851,0.4954545454545455,0.9159091114997864,0.9362324476242065,0.777,101,3,31,1,654.7141253948212
999,koch,19,0.07650688191985383,0.07820414035813883,0.49772727272727274,0.9204545617103577,0.8769500255584717,0.759,102,2,32,0,691.0418813228607
999,koch,20,0.07897094423765118,0.0765264721121639,0.4954545454545455,0.9272727370262146,0.8589897155761719,0.749,103,1,32,0,727.5061621665955
999,koch,21,0.07397786935440975,0.08154659910548118,0.4954545454545455,0.9295454621315002,0.9587997198104858,0.784,101,3,31,1,763.6713728904724
999,koch,22,0.07566348057897652,0.080218990216963,0.4954545454545455,0.9454545378684998,0.9448304176330566,0.792,102,2,32,0,799.6443042755127
999,koch,23,0.07054329748348434,0.07432141236495227,0.4954545454545455,0.925000011920929,0.9223567247390747,0.778,101,3,32,0,835.5475680828094
999,koch,24,0.07287285965189193,0.0785584268742241,0.4954545454545455,0.9340909123420715,0.8514591455459595,0.747,103,1,32,0,871.5326941013336
999,koch,25,0.07503768912341335,0.07084886298980564,0.4954545454545455,0.9477272629737854,0.8754093647003174,0.754,101,3,32,0,906.9603698253632
999,koch,26,0.07382407442036301,0.07410769665148109,0.4954545454545455,0.9409090876579285,0.8324776887893677,0.721,99,5,32,0,942.3525223731995
999,koch,27,0.07444729894632474,0.0769805460004136,0.4954545454545455,0.9386363625526428,0.891613245010376,0.767,96,8,32,0,977.081661939621
999,koch,28,0.07085337923193465,0.07004360770506243,0.4954545454545455,0.9454545378684998,1.012383222579956,0.812,98,6,31,1,1012.4545238018036
999,koch,29,0.07085057631290208,0.07021160684525966,0.4954545454545455,0.9454545378684998,0.9167290925979614,0.762,96,8,30,2,1047.5394039154053
999,koch,30,0.06473748701415499,0.0705906075650248,0.4954545454545455,0.956818163394928,0.901564359664917,0.747,98,6,29,3,1082.6452951431274
