seed,model,margin,epoch,train_loss,val_loss,val_default_acc,val_best_acc,val_best_threshold,test_acc_at_val_threshold,wall_time_sec
42,Contrastive,1.5,1,0.5477914869785309,0.5190813839435577,0.6204545454545455,0.6522727012634277,0.451362669467926,0.64,38.155970335006714
42,Contrastive,1.5,2,0.4523143454031511,0.43644799504961285,0.6954545454545454,0.7136363387107849,0.6431284546852112,0.697,75.97077369689941
42,Contrastive,1.5,3,0.41688929958776993,0.4134135650736945,0.7431818181818182,0.75,0.8024683594703674,0.722,106.65217447280884
42,Contrastive,1.5,4,0.3618615987625989,0.4204989969730377,0.7227272727272728,0.7431818246841431,0.6797477602958679,0.722,141.9100317955017
42,Contrastive,1.5,5,0.33375053324482656,0.39788526935236795,0.7681818181818182,0.7727272510528564,0.7884613275527954,0.75,180.45548558235168
42,Contrastive,1.5,6,0.28190354271368545,0.38706801193101065,0.7522727272727273,0.7749999761581421,0.6915870904922485,0.745,217.7330343723297
42,Contrastive,1.5,7,0.2319560026580637,0.3872865949358259,0.7545454545454545,0.7659090757369995,0.7716766595840454,0.725,255.2856330871582
42,Contrastive,1.5,8,0.180881968005137,0.3860579324620111,0.7681818181818182,0.7772727012634277,0.9352496266365051,0.747,292.8112668991089
42,Contrastive,1.5,9,0.13104334432970394,0.390738134937627,0.7454545454545455,0.7522727251052856,0.8388063907623291,0.729,329.9560966491699
42,Contrastive,1.5,10,0.09237000441009348,0.3992072290607861,0.7477272727272727,0.7840909361839294,0.8894020915031433,0.729,368.3542366027832
42,Contrastive,1.5,11,0.06106098023327914,0.425002994281905,0.7045454545454546,0.7749999761581421,1.0557734966278076,0.728,407.1099648475647
42,Contrastive,1.5,12,0.04414399638772011,0.40338259296757834,0.7340909090909091,0.7818182110786438,0.9886825084686279,0.743,445.34053564071655
42,Contrastive,1.5,13,0.03275228244337169,0.4114910715392658,0.6977272727272728,0.7681818008422852,0.9923025369644165,0.751,482.5499186515808
42,Contrastive,1.5,14,0.024880892038345336,0.39741591683455874,0.7295454545454545,0.7886363863945007,0.9482660293579102,0.743,518.6684648990631
42,Contrastive,1.5,15,0.019571537846191363,0.4168895674603326,0.7113636363636363,0.7795454263687134,0.8951147198677063,0.727,556.1037266254425
42,Contrastive,1.5,16,0.01617054304277355,0.39900169734443935,0.7295454545454545,0.7840909361839294,1.0109502077102661,0.737,592.9155251979828
42,Contrastive,1.5,17,0.013358386656777426,0.4119869183216776,0.7090909090909091,0.7909091114997864,0.9913747310638428,0.741,630.4985485076904
42,Contrastive,1.5,18,0.011141244025731628,0.4032450776015009,0.7363636363636363,0.7840909361839294,1.0383055210113525,0.737,669.1326112747192
42,Contrastive,1.5,19,0.00989532797512683,0.40205155100141254,0.7204545454545455,0.7818182110786438,0.9899098873138428,0.739,708.4240615367889
42,Contrastive,1.5,20,0.009894319047982042,0.41082171350717545,0.7090909090909091,0.7818182110786438,0.9418098330497742,0.737,739.1623125076294
42,Contrastive,1.5,21,0.009671125069937923,0.4114439679043634,0.7181818181818181,0.7818182110786438,0.9154530763626099,0.745,780.6312923431396
42,Contrastive,1.5,22,0.009129781394519589,0.4094153493642807,0.7136363636363636,0.7818182110786438,0.9230848550796509,0.743,817.3237454891205
