seed,model,epoch,train_loss,val_loss,val_acc_at_0_5,val_best_acc,val_best_threshold,test_acc_at_val_threshold,wall_time_sec
42,BCE_L1,1,0.681459758498452,0.6693922664437976,0.5977272727272728,0.6659091114997864,0.47999998927116394,0.645,128.5150978565216
42,BCE_L1,2,0.6755025820298628,0.6620944568089077,0.5772727272727273,0.6863636374473572,0.44999998807907104,0.679,158.25266981124878
42,BCE_L1,3,0.6651999755339189,0.6747368403843471,0.5954545454545455,0.6181818246841431,0.4899999797344208,0.612,213.36229848861694
42,BCE_L1,4,0.661089237169786,0.6562932218824115,0.6272727272727273,0.675000011920929,0.4599999785423279,0.698,275.5208315849304
42,BCE_L1,5,0.6508574312383478,0.6440405121871403,0.6522727272727272,0.7136363387107849,0.4699999988079071,0.681,337.3627004623413
42,BCE_L1,6,0.6374087377028032,0.6601201806749616,0.6227272727272727,0.6454545259475708,0.4899999797344208,0.644,400.3835520744324
42,BCE_L1,7,0.630850228396329,0.639438658952713,0.6681818181818182,0.7159090638160706,0.4599999785423279,0.672,463.1861660480499
42,BCE_L1,8,0.6125174088911577,0.6474047473498753,0.6704545454545454,0.6704545617103577,0.5,0.645,526.3733484745026
42,BCE_L1,9,0.5934965079480952,0.6348875079836164,0.6886363636363636,0.6886363625526428,0.5,0.665,590.6624526977539
42,BCE_L1,10,0.5731843910434029,0.6323513005461011,0.6954545454545454,0.6954545378684998,0.5,0.642,653.1160755157471
42,BCE_L1,11,0.5500547967173837,0.6304176534925189,0.675,0.6909090876579285,0.4899999797344208,0.646,714.818351984024
42,BCE_L1,12,0.5168240243738348,0.6243034260613578,0.6840909090909091,0.706818163394928,0.4599999785423279,0.65,778.6241314411163
