seed,backbone,epoch,train_loss,val_loss,val_default_acc,val_best_acc,val_best_threshold,test_acc_at_val_threshold,used_batches,skipped_batches,val_loss_used_batches,val_loss_skipped_batches,wall_time_sec
42,resnet18,1,0.10572620893566353,0.09998098644427955,0.5045454545454545,0.6431818008422852,0.9503979086875916,0.58,103,1,32,0,118.90866613388062
42,resnet18,2,0.09888518759264396,0.09406091133132577,0.5022727272727273,0.6795454621315002,1.127178430557251,0.606,104,0,32,0,260.9724328517914
42,resnet18,3,0.09586298580353077,0.09813235979527235,0.5,0.7204545736312866,1.0589381456375122,0.634,104,0,32,0,402.993460893631
42,resnet18,4,0.09659426702329746,0.09380904771387577,0.5,0.7477272748947144,1.0067020654678345,0.689,104,0,32,0,483.3273649215698
42,resnet18,5,0.09558244973707658,0.09460537484847009,0.5,0.7909091114997864,0.9877839088439941,0.687,104,0,32,0,552.8928611278534
42,resnet18,6,0.09361714740785268,0.0889541651122272,0.5,0.8045454621315002,0.8536031246185303,0.674,104,0,32,0,621.6602530479431
42,resnet18,7,0.0932213244959712,0.09250086662359536,0.5045454545454545,0.8181818127632141,0.9307562112808228,0.693,104,0,32,0,693.9831190109253
42,resnet18,8,0.09243161267099473,0.0888216020539403,0.5136363636363637,0.8454545736312866,0.8198964595794678,0.711,104,0,32,0,766.9719951152802
42,resnet18,9,0.09046904954056327,0.09044095012359321,0.509090909090909,0.824999988079071,0.8871651291847229,0.713,104,0,32,0,841.8885519504547
42,resnet18,10,0.09281856050858131,0.08958939113654196,0.5068181818181818,0.8590909242630005,0.8613598346710205,0.723,104,0,32,0,915.8737101554871
42,resnet18,11,0.08973385230864137,0.08817246602848172,0.5022727272727273,0.8545454740524292,0.9297366738319397,0.741,103,1,32,0,989.0710120201111
42,resnet18,12,0.08881817045263372,0.08944827504456043,0.5045454545454545,0.8568181991577148,0.8682358860969543,0.716,104,0,32,0,1067.4108765125275
42,resnet18,13,0.0881815802735778,0.08825307502411306,0.525,0.8727272748947144,0.8883615136146545,0.709,104,0,32,0,1142.5125842094421
42,resnet18,14,0.08681347188898005,0.0893858092604205,0.5068181818181818,0.8659090995788574,0.9551147818565369,0.713,104,0,32,0,1219.8555986881256
42,resnet18,15,0.08655546746641687,0.0871748112840578,0.5,0.8727272748947144,1.0916166305541992,0.749,103,1,32,0,1256.8597102165222
42,resnet18,16,0.08943315033012858,0.08305072225630283,0.5181818181818182,0.8727272748947144,1.0341649055480957,0.765,104,0,32,0,1288.7404203414917
42,resnet18,17,0.09080284432722972,0.08805973711423576,0.5136363636363637,0.8818181753158569,0.8703324198722839,0.737,104,0,32,0,1320.9513087272644
42,resnet18,18,0.088243266802679,0.08530169050209224,0.5068181818181818,0.8795454502105713,0.9348037242889404,0.741,103,1,32,0,1353.293726682663
42,resnet18,19,0.08625732302593375,0.08884518430568278,0.5159090909090909,0.8886363506317139,0.9486254453659058,0.746,103,1,32,0,1385.3296773433685
42,resnet18,20,0.08413463259495578,0.08319723152089864,0.5159090909090909,0.8999999761581421,0.7182542681694031,0.688,103,1,32,0,1418.184654712677
42,resnet18,21,0.08485092588055593,0.0845357256475836,0.525,0.9022727012634277,0.8683256506919861,0.733,104,0,32,0,1450.0106015205383
42,resnet18,22,0.08559003411434017,0.08095873892307281,0.5045454545454545,0.8931818008422852,0.8336700201034546,0.697,104,0,32,0,1482.8263688087463
42,resnet18,23,0.08353625621427507,0.0806582837831229,0.5136363636363637,0.8977272510528564,0.7751508951187134,0.704,102,2,32,0,1515.1278998851776
42,resnet18,24,0.08707540869278815,0.08642448182217777,0.5159090909090909,0.9022727012634277,0.8712608814239502,0.725,103,1,32,0,1548.174991607666
42,resnet18,25,0.08429089571850804,0.07998279493767768,0.5159090909090909,0.9204545617103577,0.8463318347930908,0.732,104,0,32,0,1580.0372853279114
42,resnet18,26,0.08409566948047051,0.08743458974640816,0.5136363636363637,0.9159091114997864,0.8863921165466309,0.745,104,0,32,0,1612.2365112304688
42,resnet18,27,0.08408380997385465,0.08359084744006395,0.5181818181818182,0.9159091114997864,0.8304499983787537,0.723,102,2,32,0,1643.8088836669922
42,resnet18,28,0.08332616860011163,0.08227401983458549,0.5431818181818182,0.9022727012634277,0.8219208121299744,0.73,104,0,32,0,1678.2528738975525
42,resnet18,29,0.08387970197403315,0.08267500426154584,0.49772727272727274,0.9113636612892151,0.8622385263442993,0.72,103,1,32,0,1710.3511407375336
42,resnet18,30,0.08609591303941082,0.08642724470701069,0.5045454545454545,0.9363636374473572,0.821028470993042,0.71,102,2,32,0,1743.4063374996185
