seed,model,margin,epoch,train_loss,val_loss,val_default_acc,val_best_acc,val_best_threshold,test_acc_at_val_threshold,wall_time_sec
42,Contrastive,1.0,1,0.2361264784227718,0.21499399734394892,0.6522727272727272,0.6863636374473572,0.44513291120529175,0.7,17.419049978256226
42,Contrastive,1.0,2,0.19301955158060247,0.18658849809850966,0.7204545454545455,0.7272727489471436,0.4091832935810089,0.71,34.79346680641174
42,Contrastive,1.0,3,0.1746893508867784,0.1803466816033636,0.7522727272727273,0.7545454502105713,0.5833637714385986,0.735,52.004369020462036
42,Contrastive,1.0,4,0.14808649461377751,0.1780949341399329,0.7636363636363637,0.7681818008422852,0.4901203215122223,0.746,69.24848341941833
42,Contrastive,1.0,5,0.12845390479673038,0.17545775643416814,0.7568181818181818,0.7636363506317139,0.46490478515625,0.742,86.5872311592102
42,Contrastive,1.0,6,0.10774676095355641,0.16478398335831507,0.7886363636363637,0.793181836605072,0.5307309627532959,0.757,104.40940451622009
42,Contrastive,1.0,7,0.08215009380470623,0.16354925717626298,0.7818181818181819,0.8068181872367859,0.6037355661392212,0.758,121.70344972610474
42,Contrastive,1.0,8,0.05984684865583073,0.1682193795485156,0.7431818181818182,0.8068181872367859,0.6625356674194336,0.757,138.94863367080688
42,Contrastive,1.0,9,0.04217315052043308,0.16685019539935247,0.740909090909091,0.793181836605072,0.618685245513916,0.75,155.8827109336853
42,Contrastive,1.0,10,0.028026149625127967,0.1769809467451913,0.7363636363636363,0.7840909361839294,0.641720712184906,0.75,175.6483976840973
42,Contrastive,1.0,11,0.01904866434633732,0.17386860719748906,0.740909090909091,0.800000011920929,0.6892449259757996,0.744,213.26511573791504
42,Contrastive,1.0,12,0.014871441555971449,0.16910567347492492,0.7477272727272727,0.800000011920929,0.6552919149398804,0.75,251.92505192756653
