seed,backbone,epoch,train_loss,val_default_acc,val_best_acc,val_best_threshold,test_acc_at_val_threshold,used_batches,skipped_batches,wall_time_sec
42,koch,1,0.09208867962933281,0.5045454545454545,0.7386363744735718,0.9760817289352417,0.701,103,1,31.933737993240356
42,koch,2,0.09319582595848121,0.5,0.7795454263687134,1.0157779455184937,0.728,104,0,63.77651309967041
42,koch,3,0.09210901141453248,0.4954545454545455,0.8090909123420715,0.9787495732307434,0.765,104,0,95.44786834716797
42,koch,4,0.08884301989410932,0.49772727272727274,0.824999988079071,1.0353106260299683,0.759,104,0,127.3827166557312
42,koch,5,0.08593760713791618,0.4954545454545455,0.8454545736312866,1.0406851768493652,0.789,104,0,158.83192014694214
42,koch,6,0.0881444843700872,0.49772727272727274,0.8363636136054993,1.0809059143066406,0.794,104,0,190.3026521205902
42,koch,7,0.08633990155962798,0.49772727272727274,0.8659090995788574,0.9912235736846924,0.794,104,0,223.63160729408264
42,koch,8,0.08403712009581235,0.4954545454545455,0.8568181991577148,0.9660241007804871,0.807,104,0,258.9298315048218
42,koch,9,0.08601000511015837,0.4954545454545455,0.8863636255264282,0.9138393998146057,0.786,104,0,311.6724259853363
42,koch,10,0.08271666933209278,0.49772727272727274,0.8909090757369995,1.0402008295059204,0.799,104,0,375.1755576133728
42,koch,11,0.08622659305826975,0.5,0.8772727251052856,0.9852685928344727,0.799,104,0,437.58593130111694
42,koch,12,0.0817438053953297,0.4954545454545455,0.875,0.9731634259223938,0.8,102,2,517.4079494476318
42,koch,13,0.08406964248905961,0.49772727272727274,0.8977272510528564,0.9468802213668823,0.806,104,0,570.4863238334656
42,koch,14,0.08050782011392024,0.4954545454545455,0.9136363863945007,0.8752413392066956,0.756,104,0,618.9468693733215
42,koch,15,0.0808369073515328,0.4954545454545455,0.9113636612892151,1.0162932872772217,0.811,104,0,735.1163153648376
42,koch,16,0.0816432231657424,0.49772727272727274,0.9022727012634277,0.984059751033783,0.78,103,1,853.9724743366241
42,koch,17,0.07897614410997016,0.4954545454545455,0.9136363863945007,0.9246178269386292,0.795,103,1,970.1690158843994
42,koch,18,0.08020921820738855,0.4954545454545455,0.9318181872367859,0.9921618700027466,0.804,104,0,1048.2251422405243
42,koch,19,0.07720393745355236,0.49772727272727274,0.9090909361839294,0.9937252998352051,0.788,103,1,1125.8362753391266
42,koch,20,0.07670309680324157,0.4954545454545455,0.9113636612892151,1.0627409219741821,0.813,103,1,1215.2454397678375
42,koch,21,0.07630904082172704,0.4954545454545455,0.9295454621315002,0.9862549304962158,0.804,103,1,1331.3978509902954
42,koch,22,0.07872919433330204,0.4954545454545455,0.9340909123420715,0.9609123468399048,0.802,102,2,1449.1473062038422
42,koch,23,0.07652220926156231,0.49772727272727274,0.9159091114997864,1.0005214214324951,0.829,102,2,1564.3996767997742
42,koch,24,0.07546060983091593,0.4954545454545455,0.9295454621315002,0.9460698366165161,0.791,100,4,1681.9461522102356
42,koch,25,0.0702835014089942,0.49772727272727274,0.9318181872367859,0.8773176670074463,0.755,100,4,1786.9650204181671
42,koch,26,0.07400564517420118,0.49772727272727274,0.9477272629737854,0.8768303990364075,0.757,101,3,1901.993246793747
42,koch,27,0.0728801914795053,0.4954545454545455,0.9522727131843567,0.8786067962646484,0.755,101,3,2021.3415338993073
42,koch,28,0.07183086362178667,0.49772727272727274,0.9477272629737854,0.9158772230148315,0.782,101,3,2133.2704067230225
42,koch,29,0.07100179514904716,0.4954545454545455,0.9454545378684998,0.832673192024231,0.717,98,6,2241.605575799942
42,koch,30,0.07418142408501394,0.4954545454545455,0.949999988079071,0.8047792911529541,0.731,101,3,2356.194864988327
