seed,model,margin,epoch,train_loss,val_loss,val_default_acc,val_best_acc,val_best_threshold,test_acc_at_val_threshold,used_batches,skipped_batches,val_loss_used_batches,val_loss_skipped_batches,wall_time_sec
123,Triplet_semihard,0.2,1,0.09071022974183926,0.09188792842905968,0.5113636363636364,0.7409090995788574,0.7775047421455383,0.708,104,0,32,0,37.40542721748352
123,Triplet_semihard,0.2,2,0.09149046381935477,0.09420040575787425,0.5045454545454545,0.75,1.045271635055542,0.737,104,0,32,0,74.032870054245
123,Triplet_semihard,0.2,3,0.09071913401334031,0.08991653844714165,0.49772727272727274,0.7954545617103577,1.0510880947113037,0.763,103,1,32,0,110.14824485778809
123,Triplet_semihard,0.2,4,0.0900295705606158,0.09108146280050278,0.49772727272727274,0.824999988079071,1.087773323059082,0.762,104,0,32,0,146.65464806556702
123,Triplet_semihard,0.2,5,0.08895317232236266,0.09381718747317791,0.5113636363636364,0.8181818127632141,1.0121042728424072,0.767,104,0,32,0,183.5949001312256
123,Triplet_semihard,0.2,6,0.08815458420520791,0.08516457630321383,0.5045454545454545,0.8431817889213562,0.9963959455490112,0.764,104,0,32,0,220.531414270401
123,Triplet_semihard,0.2,7,0.08856329887818831,0.08709483710117638,0.5022727272727273,0.8636363744735718,0.8948694467544556,0.789,104,0,32,0,257.2774784564972
123,Triplet_semihard,0.2,8,0.08468919691558068,0.08746849617455155,0.5022727272727273,0.8727272748947144,1.093536376953125,0.791,104,0,32,0,293.97251653671265
123,Triplet_semihard,0.2,9,0.08612863773193496,0.08458698180038482,0.5022727272727273,0.8772727251052856,0.9717224836349487,0.799,104,0,32,0,330.5632474422455
123,Triplet_semihard,0.2,10,0.08168064978403541,0.08316819905303419,0.4954545454545455,0.8704545497894287,0.9589004516601562,0.807,104,0,32,0,366.9350469112396
123,Triplet_semihard,0.2,11,0.08199731264154887,0.08746963541489094,0.49772727272727274,0.8863636255264282,0.9792293906211853,0.802,103,1,32,0,403.5598723888397
123,Triplet_semihard,0.2,12,0.08533718462030475,0.08387799211777747,0.5,0.8909090757369995,1.0168061256408691,0.809,104,0,32,0,440.40237283706665
123,Triplet_semihard,0.2,13,0.08480070148093197,0.08415608375798911,0.4954545454545455,0.8772727251052856,0.8630616664886475,0.796,104,0,32,0,477.68336844444275
123,Triplet_semihard,0.2,14,0.08185220819593657,0.0847474216716364,0.49772727272727274,0.8954545259475708,0.9429457187652588,0.794,101,3,32,0,513.9372067451477
123,Triplet_semihard,0.2,15,0.08012889818671871,0.07927252480294555,0.4954545454545455,0.8795454502105713,1.0263845920562744,0.802,102,2,32,0,550.2800879478455
123,Triplet_semihard,0.2,16,0.07869455685802534,0.08036508341319859,0.49772727272727274,0.9045454263687134,0.8847731351852417,0.792,102,2,32,0,585.867201089859
123,Triplet_semihard,0.2,17,0.07800339987757159,0.07643224438652396,0.4954545454545455,0.9204545617103577,0.9049783945083618,0.804,102,2,32,0,621.7857584953308
123,Triplet_semihard,0.2,18,0.07850118093930258,0.0780918353702873,0.4954545454545455,0.9272727370262146,0.9397541284561157,0.793,101,3,32,0,657.3028242588043
123,Triplet_semihard,0.2,19,0.07773837224379473,0.07855752587784082,0.4954545454545455,0.9113636612892151,0.9038053154945374,0.77,102,2,32,0,694.0539329051971
123,Triplet_semihard,0.2,20,0.07916703863212696,0.07386570074595511,0.4954545454545455,0.9090909361839294,0.8659859895706177,0.758,104,0,32,0,730.49924492836
123,Triplet_semihard,0.2,21,0.0767560931495749,0.07837175799068063,0.5,0.9045454263687134,0.8647667169570923,0.778,104,0,32,0,767.0489916801453
123,Triplet_semihard,0.2,22,0.07619848133375247,0.07560445182025433,0.5022727272727273,0.9090909361839294,0.9245625734329224,0.792,102,2,32,0,802.5547952651978
123,Triplet_semihard,0.2,23,0.0767078265113738,0.07829090440645814,0.4954545454545455,0.9227272868156433,0.9380849599838257,0.794,103,1,32,0,838.59952044487
