seed,model,margin,epoch,train_loss,val_loss,val_default_acc,val_best_acc,val_best_threshold,test_acc_at_val_threshold,used_batches,skipped_batches,val_loss_used_batches,val_loss_skipped_batches,wall_time_sec
123,Triplet_semihard,0.1,1,0.04867493755255754,0.04883841529954225,0.49772727272727274,0.7272727489471436,0.7061299085617065,0.711,104,0,32,0,53.30993604660034
123,Triplet_semihard,0.1,2,0.048079172149300575,0.0455037746578455,0.4954545454545455,0.7522727251052856,0.6791313290596008,0.728,104,0,32,0,15852.348523378372
123,Triplet_semihard,0.1,3,0.04716151983190615,0.04774946568068117,0.4954545454545455,0.7590909004211426,0.802325963973999,0.757,104,0,32,0,15888.283670186996
123,Triplet_semihard,0.1,4,0.04709109088894233,0.04763921338599175,0.4954545454545455,0.824999988079071,0.8894891738891602,0.757,103,1,32,0,15923.928983688354
123,Triplet_semihard,0.1,5,0.04556963333071998,0.04627724119927734,0.4954545454545455,0.831818163394928,0.8921731114387512,0.773,104,0,32,0,15960.633637428284
123,Triplet_semihard,0.1,6,0.047974513951115884,0.0462899740668945,0.4954545454545455,0.8545454740524292,0.8224670886993408,0.772,104,0,32,0,15997.649557828903
123,Triplet_semihard,0.1,7,0.04604482075844247,0.04555934120435268,0.4954545454545455,0.8568181991577148,0.9566685557365417,0.778,104,0,32,0,16028.409000873566
123,Triplet_semihard,0.1,8,0.04731653191041774,0.046252007014118135,0.4954545454545455,0.8568181991577148,0.9140602946281433,0.792,104,0,32,0,16065.405784845352
123,Triplet_semihard,0.1,9,0.04617847275669472,0.045873003255110234,0.4954545454545455,0.8477272987365723,0.8993775248527527,0.782,104,0,32,0,16102.652048587799
123,Triplet_semihard,0.1,10,0.04649751210728517,0.0464773487765342,0.4954545454545455,0.8840909004211426,0.8566811084747314,0.812,104,0,32,0,16140.268393278122
123,Triplet_semihard,0.1,11,0.04672044092445698,0.045258453174028546,0.4954545454545455,0.8954545259475708,0.9800777435302734,0.813,103,1,32,0,16177.19676399231
123,Triplet_semihard,0.1,12,0.04432076783492588,0.04621864773798734,0.4954545454545455,0.8863636255264282,0.8909404277801514,0.813,104,0,32,0,16218.271288871765
123,Triplet_semihard,0.1,13,0.04749825315586492,0.04472931718919426,0.4954545454545455,0.9113636612892151,0.8789553642272949,0.807,102,2,32,0,16254.917964220047
123,Triplet_semihard,0.1,14,0.044619717688944474,0.04535844718338922,0.4954545454545455,0.8954545259475708,0.8829125761985779,0.798,104,0,32,0,16290.878496170044
123,Triplet_semihard,0.1,15,0.04463902154170415,0.04545079421950504,0.4954545454545455,0.9045454263687134,0.9357278347015381,0.803,102,2,32,0,16326.658023118973
123,Triplet_semihard,0.1,16,0.044526474236851875,0.04640295903664082,0.4954545454545455,0.9022727012634277,0.836665689945221,0.784,101,3,32,0,16362.90703368187
123,Triplet_semihard,0.1,17,0.044225004112836225,0.04684342665132135,0.4954545454545455,0.9159091114997864,1.0260618925094604,0.827,103,1,32,0,16390.02070736885
123,Triplet_semihard,0.1,18,0.043808191850343174,0.04542360058234584,0.4954545454545455,0.918181836605072,0.8816049098968506,0.765,102,2,31,1,16452.93706870079
123,Triplet_semihard,0.1,19,0.04420600299723446,0.04390923655591905,0.4954545454545455,0.918181836605072,0.9272018671035767,0.814,100,4,32,0,16529.24025130272
123,Triplet_semihard,0.1,20,0.043555256381046535,0.04101948470117584,0.4954545454545455,0.925000011920929,0.8600929379463196,0.809,102,2,31,1,16605.22969174385
123,Triplet_semihard,0.1,21,0.044051787714556895,0.04390202590730041,0.4954545454545455,0.9227272868156433,0.8574705123901367,0.775,101,3,32,0,16675.047092437744
123,Triplet_semihard,0.1,22,0.0426020019744732,0.04549910069908947,0.4954545454545455,0.9272727370262146,0.8350483775138855,0.796,98,6,32,0,16710.79355764389
123,Triplet_semihard,0.1,23,0.04167114013805986,0.04239652852617925,0.4954545454545455,0.9272727370262146,0.8963210582733154,0.795,100,4,31,1,16747.719920635223
123,Triplet_semihard,0.1,24,0.0429381270960127,0.04223108018438022,0.4954545454545455,0.9272727370262146,0.8457953929901123,0.776,97,7,30,2,16783.077518939972
123,Triplet_semihard,0.1,25,0.044670038626135625,0.04217332433308325,0.4954545454545455,0.9204545617103577,0.961220920085907,0.813,97,7,31,1,16818.657336235046
123,Triplet_semihard,0.1,26,0.04112477284312869,0.04569713765134414,0.4954545454545455,0.918181836605072,0.9565963745117188,0.789,96,8,30,2,16854.054005384445
123,Triplet_semihard,0.1,27,0.04034967945888639,0.04376379869157268,0.4954545454545455,0.9272727370262146,0.9983108043670654,0.825,100,4,31,1,16889.75788140297
