backbone,loss,margin,embedding_dim,params,macs,approx_flops,train_time_sec,best_epoch,val_threshold,val_accuracy,test_accuracy,checkpoint
koch,triplet_semihard,0.2,128,10777024,998408192.0,1996816384.0,1188.829282283783,30,0.905083417892456,0.9545454382896423,0.757,checkpoints/exp2_best_koch.pt
resnet18,triplet_semihard,0.2,128,11242176,476117440.0,952234880.0,809.9896864891052,27,0.7632079124450684,0.925000011920929,0.692,checkpoints/exp2_best_resnet18.pt
